time,CRO,OSMO
2021-08-12 18:00:00,734686206338740.0,549772765895.0
2021-08-13 00:00:00,743537255919596.0,543305249931.0
2021-08-13 06:00:00,747795853442674.0,545893393844.0
2021-08-13 12:00:00,751362302028164.0,543294598934.0
2021-08-13 18:00:00,763716138594165.0,537523470837.0
2021-08-14 00:00:00,749703994303580.0,551174283913.0
2021-08-14 06:00:00,777179664102880.0,536274960243.0
2021-08-14 12:00:00,782230310050055.0,533972795885.0
2021-08-14 18:00:00,786550993340762.0,538293473702.0
2021-08-15 00:00:00,798870666393804.0,534936324189.0
2021-08-15 06:00:00,811168357404779.0,531345468046.0
2021-08-15 12:00:00,817503704711256.0,536257475744.0
2021-08-15 18:00:00,817472009976976.0,540130030010.0
2021-08-16 00:00:00,826150048831785.0,544689623337.0
2021-08-16 06:00:00,835842708130461.0,539375167933.0
2021-08-16 12:00:00,851195260447683.0,539886283847.0
2021-08-16 18:00:00,870087957555442.0,539184839192.0
2021-08-17 00:00:00,856488979489591.0,551375433284.0
2021-08-17 06:00:00,853906066483292.0,559909695225.0
2021-08-17 12:00:00,872862441989418.0,549221737228.0
2021-08-17 18:00:00,887528798042361.0,551302586900.0
2021-08-18 00:00:00,897046047814448.0,549786991412.0
2021-08-18 06:00:00,892802315724351.0,555113973856.0
2021-08-18 12:00:00,898637141536517.0,554238932331.0
2021-08-18 18:00:00,936576020776129.0,551863108009.0
2021-08-19 00:00:00,958858494349970.0,563676851189.0
2021-08-19 06:00:00,1058070475097237.0,527715535181.0
2021-08-19 12:00:00,1046736274020295.0,543507221505.0
2021-08-19 18:00:00,1040821605283862.0,546789337300.0
2021-08-20 00:00:00,1057880541122144.0,543242801744.0
2021-08-20 06:00:00,1083565327153179.0,532049484419.0
2021-08-20 12:00:00,1079891745205541.0,535817350192.0
2021-08-20 18:00:00,1082647589975767.0,544063756800.0
2021-08-21 00:00:00,1059045578612851.0,558293438010.0
2021-08-21 06:00:00,1069165750449207.0,551504001947.0
2021-08-21 12:00:00,1137796785150903.0,537225152748.0
2021-08-21 18:00:00,1185298007690371.0,523360154874.0
2021-08-22 00:00:00,1169954589821603.0,528687640243.0
2021-08-22 06:00:00,1200402063323903.0,532222243696.0
2021-08-22 12:00:00,1203613321284430.0,537246494972.0
2021-08-22 18:00:00,1207359105892948.0,553740079426.0
2021-08-23 00:00:00,1218599938669103.0,565488580568.0
2021-08-23 06:00:00,1235740797440602.0,565542482333.0
2021-08-23 12:00:00,1243015741230926.0,568734910566.0
2021-08-23 18:00:00,1227620459168479.0,562753997190.0
2021-08-24 00:00:00,1247023587620593.0,571364597754.0
2021-08-24 06:00:00,1222596307570358.0,584750099735.0
2021-08-24 12:00:00,1230485309053730.0,595213609036.0
2021-08-24 18:00:00,1219073565999591.0,613427903799.0
