time,ATOM,IRIS
2021-07-28 00:00:00,151615917526.0,16255227849704.0
2021-07-28 06:00:00,153298503911.0,16290622444996.0
2021-07-28 12:00:00,151520588045.0,16580130377613.0
2021-07-28 18:00:00,150556129504.0,16724564066913.0
2021-07-29 00:00:00,151013670015.0,16672286078612.0
2021-07-29 06:00:00,151397987780.0,16607222902836.0
2021-07-29 12:00:00,152387842182.0,16978681414034.0
2021-07-29 18:00:00,153150842335.0,16878000993120.0
2021-07-30 00:00:00,153304262267.0,16859216932731.0
2021-07-30 06:00:00,153613409250.0,16829785043406.0
2021-07-30 12:00:00,153289038810.0,16904761871952.0
2021-07-30 18:00:00,152780263705.0,16954767757978.0
2021-07-31 00:00:00,152672572984.0,17013834213896.0
2021-07-31 06:00:00,153111450249.0,16967804709779.0
2021-07-31 12:00:00,153254863894.0,16957260346763.0
2021-07-31 18:00:00,152448180688.0,17122658466147.0
2021-08-01 00:00:00,163041918439.0,17993747813035.0
2021-08-01 06:00:00,164335723485.0,18111572830522.0
2021-08-01 12:00:00,186934312954.0,20812947598183.0
2021-08-01 18:00:00,186949657722.0,20813969414247.0
2021-08-02 00:00:00,187573371658.0,20739566310545.0
2021-08-02 06:00:00,187830384223.0,20746598262072.0
2021-08-02 12:00:00,197545771048.0,21959053022975.0
2021-08-02 18:00:00,196839133748.0,21970374950582.0
2021-08-03 00:00:00,200514374959.0,21398520438816.0
2021-08-03 06:00:00,202358465353.0,21108085210526.0
2021-08-03 12:00:00,202303540275.0,21127646964439.0
2021-08-03 18:00:00,212659017925.0,22079115886088.0
2021-08-04 00:00:00,211550003391.0,22341827891391.0
2021-08-04 06:00:00,211661771324.0,22311734206083.0
2021-08-04 12:00:00,211394436605.0,22322703147275.0
2021-08-04 18:00:00,214531298962.0,22994160867475.0
2021-08-05 00:00:00,213785233336.0,23116212063192.0
2021-08-05 06:00:00,213307720386.0,23198249739515.0
2021-08-05 12:00:00,218549869728.0,22396623238661.0
2021-08-05 18:00:00,217217110037.0,22605324133996.0
2021-08-06 00:00:00,230579253190.0,23528276444083.0
2021-08-06 06:00:00,230217551789.0,23585893193842.0
2021-08-06 12:00:00,229030607065.0,23779846372935.0
2021-08-06 18:00:00,227823037449.0,23932123436412.0
2021-08-07 00:00:00,228335582343.0,23988440525683.0
2021-08-07 06:00:00,234787240987.0,23013509150173.0
2021-08-07 12:00:00,232271581070.0,23385352229706.0
2021-08-07 18:00:00,235271620176.0,22948714386317.0
2021-08-08 00:00:00,234108352857.0,23090010958908.0
2021-08-08 06:00:00,232108374574.0,23443485862159.0
2021-08-08 12:00:00,230942855922.0,23623261018320.0
2021-08-08 18:00:00,234256128568.0,23421378811563.0
2021-08-09 00:00:00,234046651166.0,23403466697775.0
2021-08-09 06:00:00,232924120523.0,23574995396908.0
2021-08-09 12:00:00,231721141729.0,23534754282908.0
2021-08-09 18:00:00,232930804050.0,23501676721575.0
2021-08-10 00:00:00,234436111996.0,23272767609314.0
2021-08-10 06:00:00,233838648983.0,23387181116666.0
2021-08-10 12:00:00,236429310410.0,23005183970188.0
2021-08-10 18:00:00,235731210451.0,23104267217595.0
2021-08-11 00:00:00,235767923914.0,23248822899545.0
2021-08-11 06:00:00,233156123221.0,23657124476614.0
2021-08-11 12:00:00,234674430250.0,23408291804485.0
2021-08-11 18:00:00,234500685039.0,23427119587954.0
2021-08-12 00:00:00,235103240570.0,23494910965618.0
2021-08-12 06:00:00,235403392325.0,23461041381898.0
2021-08-12 12:00:00,235802541759.0,23698677102446.0
2021-08-12 18:00:00,236932461736.0,23453200306262.0
2021-08-13 00:00:00,239151898408.0,23296519169049.0
2021-08-13 06:00:00,239209964862.0,23290136280284.0
2021-08-13 12:00:00,239017624870.0,23330957991521.0
2021-08-13 18:00:00,239805619732.0,23219920294349.0
2021-08-14 00:00:00,240060725511.0,23353859897244.0
2021-08-14 06:00:00,240479023403.0,23297869549661.0
2021-08-14 12:00:00,249072255243.0,22111524015780.0
2021-08-14 18:00:00,246643816550.0,22079422284875.0
2021-08-15 00:00:00,245570279853.0,22115261867784.0
2021-08-15 06:00:00,252140930796.0,21273874981525.0
2021-08-15 12:00:00,248040942898.0,21805635551266.0
2021-08-15 18:00:00,248074712722.0,21976196846175.0
2021-08-16 00:00:00,246391564521.0,22203297518835.0
2021-08-16 06:00:00,240446005759.0,23068195615678.0
2021-08-16 12:00:00,240385071404.0,23078611634231.0
2021-08-16 18:00:00,238641775177.0,23336180374276.0
2021-08-17 00:00:00,238963871608.0,23662058532709.0
2021-08-17 06:00:00,238550173056.0,23714672948519.0
2021-08-17 12:00:00,235652993600.0,24123150641840.0
2021-08-17 18:00:00,236608723476.0,23801258577218.0
2021-08-18 00:00:00,232132562071.0,24186897551770.0
2021-08-18 06:00:00,232518275790.0,24105762496042.0
2021-08-18 12:00:00,229607102567.0,23651791161411.0
2021-08-18 18:00:00,227878078777.0,24170485441878.0
2021-08-19 00:00:00,222624134453.0,25037079973853.0
2021-08-19 06:00:00,206254501918.0,24249733557631.0
2021-08-19 12:00:00,209651295723.0,23684160589243.0
2021-08-19 18:00:00,210001860223.0,23631179582360.0
2021-08-20 00:00:00,210580400898.0,23536401046944.0
2021-08-20 06:00:00,209223710739.0,23775704930227.0
2021-08-20 12:00:00,210235428460.0,23820442062365.0
2021-08-20 18:00:00,209154389403.0,24040416255867.0
2021-08-21 00:00:00,213612775513.0,23498928473690.0
2021-08-21 06:00:00,212417978772.0,23703068136512.0
2021-08-21 12:00:00,206164216035.0,24716397172812.0
2021-08-21 18:00:00,203874928120.0,25515588977743.0
2021-08-22 00:00:00,206303543122.0,25270708188054.0
