time,ATOM,OSMO
2021-08-22 18:00:00,1383017667217.0,9042968030700.0
2021-08-23 00:00:00,1405607474557.0,9171244762624.0
2021-08-23 06:00:00,1414056552686.0,9126629134855.0
2021-08-23 12:00:00,1424763893898.0,9028176616172.0
2021-08-23 18:00:00,1439387594598.0,9037329996987.0
2021-08-24 00:00:00,1442049585901.0,9133441528606.0
2021-08-24 06:00:00,1447182892721.0,9197822707285.0
2021-08-24 12:00:00,1444813341669.0,9250942589429.0
2021-08-24 18:00:00,1467670741427.0,9410115267550.0
2021-08-25 00:00:00,1474554830263.0,9478433003210.0
2021-08-25 06:00:00,1478706966115.0,9482728282488.0
2021-08-25 12:00:00,1496036280097.0,9510333118815.0
2021-08-25 18:00:00,1499844724819.0,9572461953747.0
2021-08-26 00:00:00,1508781426522.0,9615940304327.0
2021-08-26 06:00:00,1514105700583.0,9594633109961.0
2021-08-26 12:00:00,1516576618820.0,9570407700185.0
2021-08-26 18:00:00,1518380400772.0,9621331533160.0
2021-08-27 00:00:00,1530246193369.0,9765374338429.0
2021-08-27 06:00:00,1535230991665.0,9759646844411.0
2021-08-27 12:00:00,1547778997853.0,9771360808327.0
2021-08-27 18:00:00,1569272349463.0,9678036601458.0
