time,ATOM,DVPN
2021-07-23 00:00:00,182378863535.0,283318896136490.0
2021-07-23 06:00:00,182943128405.0,283895793410432.0
2021-07-23 12:00:00,184130437617.0,283325110498951.0
2021-07-23 18:00:00,186196135020.0,283994707767386.0
2021-07-24 00:00:00,185583955168.0,283852773255215.0
2021-07-24 06:00:00,184844198757.0,285266648486529.0
2021-07-24 12:00:00,186743034450.0,282981731532425.0
2021-07-24 18:00:00,189910214478.0,287596284921006.0
2021-07-25 00:00:00,192981702612.0,285688520401952.0
2021-07-25 06:00:00,193425413870.0,285430918272852.0
2021-07-25 12:00:00,192876459913.0,285833765358273.0
2021-07-25 18:00:00,195788570893.0,287632231941547.0
2021-07-26 00:00:00,195161146501.0,287917745280116.0
2021-07-26 06:00:00,193914051095.0,288723919793998.0
2021-07-26 12:00:00,192987711291.0,287317817271904.0
2021-07-26 18:00:00,195338611533.0,289078753111846.0
2021-07-27 00:00:00,196831607692.0,288762140788542.0
2021-07-27 06:00:00,198156139915.0,288172698340503.0
2021-07-27 12:00:00,198817331940.0,288146062141989.0
2021-07-27 18:00:00,196211160923.0,288945371637081.0
2021-07-28 00:00:00,195435610035.0,289463413113923.0
2021-07-28 06:00:00,195548469168.0,289657218763374.0
2021-07-28 12:00:00,195846926385.0,289807628274911.0
2021-07-28 18:00:00,196459758776.0,289939153516987.0
2021-07-29 00:00:00,196601702503.0,289576576059196.0
2021-07-29 06:00:00,196820797605.0,289333991635008.0
2021-07-29 12:00:00,196738417060.0,289396430898552.0
2021-07-29 18:00:00,199924798465.0,293297172359577.0
2021-07-30 00:00:00,200293714427.0,292426979401909.0
2021-07-30 06:00:00,200093720841.0,292584157415687.0
2021-07-30 12:00:00,199571468628.0,292317223397411.0
2021-07-30 18:00:00,202089865458.0,294512667642732.0
2021-07-31 00:00:00,200005815164.0,295911916150159.0
2021-07-31 06:00:00,181361201579.0,308873298423822.0
2021-07-31 12:00:00,189917282600.0,320450378301179.0
2021-07-31 18:00:00,192012910404.0,320647224925477.0
2021-08-01 00:00:00,191269540343.0,323405736458072.0
2021-08-01 06:00:00,192847784671.0,327444690995784.0
2021-08-01 12:00:00,192961877327.0,327279818112267.0
2021-08-01 18:00:00,194553357657.0,329202671311009.0
2021-08-02 00:00:00,194183187731.0,329642659790881.0
2021-08-02 06:00:00,193614234380.0,330059512184028.0
2021-08-02 12:00:00,192182554273.0,331126985098162.0
2021-08-02 18:00:00,191778484360.0,332075093581967.0
2021-08-03 00:00:00,192929128808.0,334042755586857.0
2021-08-03 06:00:00,194108835750.0,333228887541611.0
2021-08-03 12:00:00,192542423791.0,334636947916902.0
2021-08-03 18:00:00,190843840411.0,335958880202197.0
2021-08-04 00:00:00,190997859329.0,336272876099838.0
2021-08-04 06:00:00,188923157286.0,337952740855521.0
2021-08-04 12:00:00,187832723482.0,338999602607839.0
2021-08-04 18:00:00,185887230821.0,340722025269549.0
2021-08-05 00:00:00,183484601942.0,342945677174693.0
2021-08-05 06:00:00,183956251238.0,342893078451776.0
2021-08-05 12:00:00,188665711864.0,348794320320064.0
2021-08-05 18:00:00,186739909149.0,351210555146717.0
2021-08-06 00:00:00,192421683661.0,346864428149935.0
2021-08-06 06:00:00,190351513792.0,346709291166444.0
2021-08-06 12:00:00,190347574904.0,344081943202973.0
2021-08-06 18:00:00,188652956924.0,345101721713238.0
2021-08-07 00:00:00,188416641986.0,345514446109067.0
2021-08-07 06:00:00,188287230027.0,345226931172439.0
2021-08-07 12:00:00,187613587225.0,345964487102635.0
2021-08-07 18:00:00,186336070475.0,343355265423638.0
2021-08-08 00:00:00,184065431371.0,344940968230384.0
2021-08-08 06:00:00,184636532125.0,344464655401848.0
2021-08-08 12:00:00,184454268777.0,345402022286600.0
2021-08-08 18:00:00,186219178261.0,346325345121692.0
2021-08-09 00:00:00,186098071805.0,346152558272852.0
2021-08-09 06:00:00,186428288625.0,345862393333670.0
2021-08-09 12:00:00,186637105600.0,346085800746149.0
2021-08-09 18:00:00,186717654534.0,348969226314433.0
2021-08-10 00:00:00,186472651848.0,349266544786815.0
2021-08-10 06:00:00,185702828002.0,349016493706550.0
2021-08-10 12:00:00,185417490408.0,349607946859198.0
2021-08-10 18:00:00,188092805510.0,348152880217800.0
2021-08-11 00:00:00,186338600750.0,348551268009366.0
2021-08-11 06:00:00,184591261406.0,349441104896903.0
2021-08-11 12:00:00,185946793775.0,348627850331523.0
2021-08-11 18:00:00,184509882218.0,345174201772222.0
2021-08-12 00:00:00,201311872232.0,373358094908278.0
2021-08-12 06:00:00,201607202060.0,373128758738136.0
2021-08-12 12:00:00,202096183236.0,373045318921139.0
2021-08-12 18:00:00,204527615881.0,374421396307719.0
2021-08-13 00:00:00,202585497925.0,376094236478968.0
2021-08-13 06:00:00,202609823347.0,376102524634805.0
2021-08-13 12:00:00,201709594538.0,376713303984845.0
2021-08-13 18:00:00,206890605821.0,377461412701129.0
2021-08-14 00:00:00,205554352574.0,378200736765908.0
2021-08-14 06:00:00,206824284855.0,377045604179536.0
2021-08-14 12:00:00,208084047913.0,376456781753961.0
2021-08-14 18:00:00,210466368729.0,377838639291356.0
2021-08-15 00:00:00,211209564405.0,377295612479928.0
2021-08-15 06:00:00,211676799879.0,377777813241486.0
2021-08-15 12:00:00,212285899896.0,377725580377714.0
2021-08-15 18:00:00,212979993143.0,380252351134959.0
2021-08-16 00:00:00,215690115500.0,389335078819957.0
2021-08-16 06:00:00,216707772540.0,389476105497787.0
2021-08-16 12:00:00,217308710335.0,389022147112009.0
2021-08-16 18:00:00,218008193332.0,389887556434402.0
2021-08-17 00:00:00,215471220838.0,391913740818559.0
2021-08-17 06:00:00,215599793736.0,392100235011305.0
2021-08-17 12:00:00,215335789563.0,392327496063642.0
2021-08-17 18:00:00,216367088486.0,391661134959836.0
2021-08-18 00:00:00,217158862367.0,391149553377529.0
2021-08-18 06:00:00,218985753564.0,390615584793252.0
2021-08-18 12:00:00,219446401472.0,388989295684678.0
2021-08-18 18:00:00,216749159287.0,390464652235889.0
2021-08-19 00:00:00,214576137331.0,392107062751534.0
2021-08-19 06:00:00,212478638094.0,393733086162407.0
2021-08-19 12:00:00,214956521682.0,392163981307933.0
2021-08-19 18:00:00,215073173206.0,391200934891389.0
2021-08-20 00:00:00,218516711325.0,388858096658422.0
2021-08-20 06:00:00,219304427110.0,388095519823310.0
2021-08-20 12:00:00,219074112142.0,388300837072407.0
2021-08-20 18:00:00,219426697033.0,388031734092003.0
2021-08-21 00:00:00,197542082535.0,406554541006325.0
2021-08-21 06:00:00,200905587814.0,404162498391235.0
2021-08-21 12:00:00,199451414779.0,405006656563821.0
2021-08-21 18:00:00,195462527541.0,408374682605723.0
2021-08-22 00:00:00,196408816328.0,407566749131276.0
2021-08-22 06:00:00,196500194406.0,407727962837954.0
2021-08-22 12:00:00,197231149677.0,407523819338546.0
2021-08-22 18:00:00,197859668428.0,407085292562955.0
2021-08-23 00:00:00,197661979530.0,407329592443079.0
2021-08-23 06:00:00,198482185932.0,406631384291304.0
2021-08-23 12:00:00,199562368927.0,405692529444131.0
2021-08-23 18:00:00,211613991927.0,395794444702163.0
2021-08-24 00:00:00,212088713051.0,395415681064965.0
2021-08-24 06:00:00,211582099382.0,392756528476255.0
2021-08-24 12:00:00,212175497737.0,395222629328906.0
2021-08-24 18:00:00,212834554037.0,395226530626752.0
2021-08-25 00:00:00,212822217448.0,395346550997203.0
2021-08-25 06:00:00,212892810340.0,395355833410936.0
2021-08-25 12:00:00,214103004106.0,395552060788918.0
2021-08-25 18:00:00,214213859565.0,395401572866868.0
2021-08-26 00:00:00,214878622395.0,394868776742656.0
2021-08-26 06:00:00,215533347271.0,394150164986053.0
2021-08-26 12:00:00,214991619486.0,393186034269433.0
2021-08-26 18:00:00,214556429914.0,394850080817957.0
2021-08-27 00:00:00,212067613074.0,396600831191797.0
2021-08-27 06:00:00,211618818593.0,397031985573428.0
2021-08-27 12:00:00,209895162292.0,397828849650282.0
2021-08-27 18:00:00,210411044526.0,397666980302570.0
