time,AKT,ATOM
2021-08-06 00:00:00,3557371707811.0,357111138810.0
2021-08-06 06:00:00,3553188539913.0,357959254255.0
2021-08-06 12:00:00,3564913588024.0,356509197078.0
2021-08-06 18:00:00,3580714116601.0,355224375092.0
2021-08-07 00:00:00,3636537925038.0,358711647692.0
2021-08-07 06:00:00,3656906707583.0,357463969034.0
2021-08-07 12:00:00,3686469301631.0,351501781411.0
2021-08-07 18:00:00,3680594625058.0,353729722007.0
2021-08-08 00:00:00,3686279871380.0,352641164196.0
2021-08-08 06:00:00,3670924560958.0,356698102719.0
2021-08-08 12:00:00,3699377307090.0,348047391043.0
2021-08-08 18:00:00,3675921086522.0,354479721414.0
2021-08-09 00:00:00,3684316159571.0,353887769279.0
2021-08-09 06:00:00,3699268406818.0,350864398010.0
2021-08-09 12:00:00,3716507072960.0,347666429375.0
2021-08-09 18:00:00,3715064049033.0,349729271420.0
2021-08-10 00:00:00,3721562390245.0,347394537272.0
2021-08-10 06:00:00,3726772891313.0,350723099949.0
2021-08-10 12:00:00,3740300572046.0,344949748267.0
2021-08-10 18:00:00,3718908080071.0,348302501789.0
2021-08-11 00:00:00,3737988556307.0,343778323077.0
2021-08-11 06:00:00,3811963284414.0,337185400593.0
2021-08-11 12:00:00,3808276972408.0,338486429187.0
2021-08-11 18:00:00,3796681478903.0,338376527068.0
2021-08-12 00:00:00,3767801237483.0,342637031446.0
2021-08-12 06:00:00,3760322020781.0,344647615918.0
2021-08-12 12:00:00,3762664932554.0,344455564840.0
2021-08-12 18:00:00,3719266609936.0,352302638023.0
2021-08-13 00:00:00,3745474383933.0,347343983038.0
2021-08-13 06:00:00,3756099012332.0,345000913400.0
2021-08-13 12:00:00,3793825307122.0,338661121974.0
2021-08-13 18:00:00,3812294544828.0,344892365345.0
2021-08-14 00:00:00,3833731476929.0,340637411158.0
2021-08-14 06:00:00,3843833295150.0,336839350778.0
2021-08-14 12:00:00,3822886742198.0,343097627162.0
2021-08-14 18:00:00,3825785212467.0,345282909518.0
2021-08-15 00:00:00,3861792682888.0,348480205532.0
2021-08-15 06:00:00,3876624871794.0,349567875921.0
2021-08-15 12:00:00,3842702922476.0,352494099607.0
2021-08-15 18:00:00,3835969023386.0,354480139524.0
2021-08-16 00:00:00,3852005741082.0,348259624495.0
2021-08-16 06:00:00,3855827511698.0,347630583366.0
2021-08-16 12:00:00,3885837801528.0,342892469418.0
2021-08-16 18:00:00,3836341059387.0,343361067464.0
2021-08-17 00:00:00,3838641535165.0,339862243082.0
2021-08-17 06:00:00,3852689061777.0,337853807278.0
2021-08-17 12:00:00,3870707883519.0,334048836177.0
2021-08-17 18:00:00,3839273587510.0,339801910164.0
2021-08-18 00:00:00,3840737786952.0,340278945974.0
2021-08-18 06:00:00,3824703826015.0,341011628425.0
2021-08-18 12:00:00,3807579401475.0,342681736511.0
2021-08-18 18:00:00,3855343739955.0,332565787006.0
2021-08-19 00:00:00,3905641980382.0,326131832424.0
2021-08-19 06:00:00,3932402627160.0,316506318730.0
2021-08-19 12:00:00,3893435884320.0,323761103321.0
2021-08-19 18:00:00,3901247435194.0,324330082398.0
2021-08-20 00:00:00,3864230609015.0,331479531351.0
2021-08-20 06:00:00,3869868994488.0,330587875879.0
2021-08-20 12:00:00,3898077615478.0,331156431229.0
2021-08-20 18:00:00,3879101037062.0,335056079477.0
2021-08-21 00:00:00,3967857413863.0,339716479013.0
2021-08-21 06:00:00,3977307795341.0,339475066922.0
2021-08-21 12:00:00,4037422079580.0,334240552301.0
2021-08-21 18:00:00,4106806408083.0,325952496221.0
2021-08-22 00:00:00,4122406829304.0,328692207868.0
2021-08-22 06:00:00,4135672302793.0,327873791293.0
2021-08-22 12:00:00,4161464715705.0,328022043048.0
2021-08-22 18:00:00,4157061396230.0,329121648829.0
2021-08-23 00:00:00,4204466951993.0,325389981689.0
2021-08-23 06:00:00,4198510850109.0,326144278480.0
2021-08-23 12:00:00,4216555062615.0,327663084224.0
2021-08-23 18:00:00,4192110187652.0,332637908079.0
2021-08-24 00:00:00,4227133966385.0,331735255706.0
2021-08-24 06:00:00,4224796526470.0,329598845988.0
2021-08-24 12:00:00,4253174673676.0,327913548720.0
